doc ID,topic pairs
10.1107/S0108767393011535,"[(2, 0.47567128098883327), (22, 0.3007099307702737), (99, 0.1887249617137918)]"
10.1107/S1600536804016642,"[(43, 0.923516931158549)]"
10.1107/S1600536804017301,"[(46, 0.8898511855591112)]"
10.1107/S1600536804017015,"[(1, 0.9187840277333232)]"
10.1107/S1600536804018434,"[(100, 0.9377180607309247)]"
10.1107/S1600536809031109,"[(5, 0.7287300061131554), (4, 0.18347397703285737)]"
10.1107/S1744309107047069,"[(106, 0.9527244984295526)]"
10.1107/S0108270102004511,"[(56, 0.5148850392860592), (7, 0.4202091561135147)]"
10.1107/S1600536809032620,"[(51, 0.6081982062735891), (102, 0.3160721493854044)]"
10.1107/S0108270197007920,"[(104, 0.9236585674489948)]"
10.1107/S1600536809032413,"[(35, 0.9096657562365066)]"
10.1107/S1600536804015983,"[(54, 0.8902942114812641)]"
10.1107/S1600536809031882,"[(12, 0.48019415246028696), (58, 0.4621715055372412)]"
10.1107/S1600536809033303,"[(39, 0.9339084895815474)]"
10.1107/S1600536809033315,"[(8, 0.9571872723423588)]"
10.1107/S1600536809032772,"[(3, 0.3795948893303993), (48, 0.293078853354203), (124, 0.26630976723725686)]"
10.1107/S1600536804017179,"[(66, 0.8760544964792627)]"
10.1107/S1600536809033662,"[(1, 0.9114007574093511)]"
10.1107/S1600536809033480,"[(8, 0.8421200865965418), (0, 0.08924059024848523)]"
10.1107/S0108270103025903,"[(39, 0.975820185105449)]"
10.1107/S1600536812007313,"[(1, 0.9250314102153754)]"
10.1107/S1600536806017041,"[(1, 0.583622712922841), (77, 0.3759688913942081)]"
10.1107/S1600536812007842,"[(23, 0.910360267662468)]"
10.1107/S1600536806019167,"[(124, 0.7508756072999782)]"
10.1107/S1600536806018794,"[(0, 0.9023742157650164)]"
10.1107/S1600536812008082,"[(0, 0.9349161467816041)]"
10.1107/S1600536806019015,"[(19, 0.9709185359055326)]"
10.1107/S1600536806018903,"[(104, 0.9586483908651768)]"
10.1107/S0909049511037149,"[(15, 0.9764386521865273)]"
10.1107/S1600536806015121,"[(0, 0.4418773536935041), (1, 0.2729539435075283), (7, 0.2462817859814452)]"
10.1107/S1600536812003807,"[(11, 0.9671936258834565)]"
10.1107/S1600536812004412,"[(0, 0.48074087527180975), (78, 0.28794929550273496), (61, 0.19437216436528698)]"
10.1107/S1600536812005156,"[(17, 0.9590258868258269)]"
10.1107/S1600536812005338,"[(91, 0.9567472248755895)]"
10.1107/S0909049503029169,"[(109, 0.9698349543522233)]"
10.1107/S1744309110035074,"[(98, 0.9679738962785344)]"
10.1107/S1600536812005016,"[(51, 0.841789562371987), (1, 0.11800873904724493)]"
10.1107/S1600536812004783,"[(8, 0.5815342752188445), (16, 0.33007663702912043)]"
10.1107/S1744309110037954,"[(13, 0.968996625558875)]"
10.1107/S010827010803669X,"[(75, 0.9551466072917315)]"
10.1107/S160053681200671X,"[(1, 0.9625154330971994)]"
10.1107/S1600536812001353,"[(90, 0.8003563693482165), (0, 0.16830050385687648)]"
10.1107/S1600536812004758,"[(122, 0.9502069941882318)]"
10.1107/S1600536812006137,"[(61, 0.9290706667114084)]"
10.1107/S1399004714005550,"[(92, 0.9818689040647642)]"
10.1107/S1600536812007878,"[(141, 0.923309462793898)]"
10.1107/S0108270196005628,"[(142, 0.9003986870479874)]"
10.1107/S1600536812003704,"[(1, 0.9663933907861567)]"
10.1107/S1600536812032333,"[(27, 0.9448216974710185)]"
10.1107/S0108270196006002,"[(18, 0.9013716141287322)]"
10.1107/S1600536812032266,"[(12, 0.6776102160196449), (3, 0.2685297623748916)]"
10.1107/S1600536812032655,"[(51, 0.9009750901261675)]"
10.1107/S1600536812003820,"[(12, 0.9452862646942154)]"
10.1107/S1600536812003674,"[(75, 0.9451791869231351)]"
10.1107/S0108270196003368,"[(102, 0.9289831230218021)]"
10.1107/S1600536812003637,"[(42, 0.960326955478656)]"
10.1107/S1600536812003078,"[(79, 0.9616855634867847)]"
10.1107/S1600536810042972,"[(75, 0.9177687803878621)]"
10.1107/S1600536810039905,"[(15, 0.8763029234760263)]"
10.1107/S1600536810043904,"[(137, 0.7379651103455356), (0, 0.20480669674795118)]"
10.1107/S0108270197011062,"[(106, 0.9290867476443291)]"
10.1107/S1600536810040456,"[(0, 0.5647446984695252), (11, 0.3787583070031589)]"
10.1107/S0108270197009542,"[(123, 0.9476137462325299)]"
10.1107/S1744309108011512,"[(31, 0.961711662031766)]"
10.1107/S1600536810043795,"[(3, 0.9481772024525773)]"
10.1107/S0108270197009682,"[(3, 0.9242589758954276)]"
10.1107/S0108270112031526,"[(20, 0.9764186801179205)]"
