row,run,topic,terms,p
72,2,7,water_molecule,0.01636648178100586
73,2,7,sn_atom,0.016195835545659065
74,2,7,crystallographic_symmetry,0.016016148030757904
75,2,7,mononuclear_complex,0.015904070809483528
76,2,7,x_ray,0.01452820748090744
77,2,7,coordinate_water_molecule,0.012858018279075623
78,2,7,intermolecular_c_h,0.012831569649279118
79,2,7,inversion_centre,0.012274712324142456
80,2,8,start_material,0.022500088438391685
81,2,8,structure_determination,0.012854283675551414
82,2,8,space_group,0.01247783936560154
83,2,8,water_molecule,0.010676809586584568
84,2,8,large_family,0.010483182035386562
85,2,8,crystal_growth,0.010483182035386562
86,2,8,ab_plane,0.010419434867799282
87,2,8,organic_cation,0.0100779440253973
88,2,8,c_bond,0.009901227429509163
89,2,8,dimensional_layer,0.00938392709940672
90,2,9,c_s_h,0.026500876992940903
91,2,9,c_h,0.018759332597255707
92,2,9,aring_interaction,0.01830793172121048
93,2,9,light_source,0.013471117243170738
94,2,9,centroid_distance,0.013071686029434204
95,2,9,space_group,0.011883839964866638
96,2,9,metal_site,0.010826779529452324
97,2,9,weak_c,0.010588760487735271
98,2,9,asymmetric_unit,0.010535470210015774
99,2,9,pi_pi,0.010396022349596024
100,2,10,single_crystal,0.017441092059016228
101,2,10,high_density,0.014736566692590714
102,2,10,diffraction_quality,0.014539427123963833
103,2,10,x_ray,0.013881693594157696
104,2,10,double_crystal_monochromator,0.013760854490101337
105,2,10,x_ray_diffraction,0.013561873696744442
106,2,10,phase_transition,0.01269214041531086
107,2,10,electron_density_distribution,0.011583146639168262
108,2,10,intermolecular_pi,0.011468686163425446
109,2,10,double_crystal,0.01145003829151392
110,2,11,absolute_configuration,0.016164449974894524
111,2,11,dihedral_angle_deg,0.014774827286601067
112,2,11,o_atom,0.010983200743794441
113,2,11,structure_factor,0.009939860552549362
114,2,11,o_hydrogen_bond,0.009647696278989315
115,2,11,bind_site,0.009569314308464527
116,2,11,x_ray_scatter,0.009406954981386662
117,2,11,molecular_replacement,0.009021660313010216
118,2,11,bc_plane,0.008878938853740692
119,2,11,bc_plane_parallel,0.008705846965312958
120,2,12,tetrahedral_geometry,0.023155013099312782
121,2,12,distort_tetrahedral_geometry,0.01795848459005356
122,2,12,cl_hydrogen_bond,0.016554562374949455
123,2,12,weak_c_h,0.015421087853610516
124,2,12,molecular_conformation,0.01500974502414465
125,2,12,electron_density,0.01471592579036951
126,2,12,powerful_technique,0.01380131859332323
127,2,12,mo_k_alpha,0.012741622515022755
128,2,12,x_ray,0.01247475016862154
129,2,12,p_atom,0.012088106013834476
130,2,13,ring_system,0.027940114960074425
131,2,13,zigzag_chain,0.0218220017850399
132,2,13,naphthalene_ring_system,0.01860361546278
133,2,13,x_ray_diffraction_datum,0.01854739896953106
134,2,13,b_axis,0.016651635989546776
135,2,13,x_ray,0.014938680455088615
136,2,13,x_ray_diffraction,0.014195636846125126
137,2,13,benzene_ring,0.013143863528966904
138,2,13,deg_dihedral_angle,0.012975168414413929
139,2,13,o_h,0.011833311058580875
140,2,14,distort_octahedral_geometry,0.022062338888645172
141,2,14,octahedral_geometry,0.021297426894307137
142,2,14,o_atom,0.020876886323094368
143,2,14,o_h,0.01966787315905094
144,2,14,cl_atom,0.01861824095249176
145,2,14,n_atom,0.018260987475514412
146,2,14,c_n_double_bond,0.0157438013702631
147,2,14,centroid_distance,0.015560141764581203
148,2,14,double_bond,0.014328044839203358
149,2,14,coii_atom,0.014072960242629051
150,2,15,n_hydrogen_bond,0.03595630079507828
151,2,15,n_h,0.027427755296230316
152,2,15,n_hydrogen,0.027285797521471977
153,2,15,intermolecular_n_h,0.025161514058709145
154,2,15,s_hydrogen_bond,0.024806678295135498
155,2,15,aromatic_ring,0.021541979163885117
156,2,15,dihedral_angle,0.019273756071925163
157,2,15,asymmetric_unit,0.01871899701654911
158,2,15,c_h,0.01476679090410471
159,2,15,pi_interaction,0.01364034041762352
160,2,16,ring_system,0.025116009637713432
161,2,16,intramolecular_c_h,0.024758944287896156
162,2,16,c_h,0.020580491051077843
